Ticket Class,Ticket Priority,Ticket Number,Ticket Status,Ticket Status Original,Opened Date,Hostname,Ticket Summary,Queue ID,Ticket Resolved Date,Resolution Code,Resolution Text,Ticket Closed Date,Call code,Reported By,Executed Automata,Recommended Automata,Actionable,Assignment Queue,Autogenerated,Automation Engine,Closure Code,Target Finish Date,Time to resolve (min)
INCIDENT,3,INCEU1993810,CLOSED,CLOSED,2025-01-02T08:25:39,aks-sr-aks-prd,aks-sr-aks-prd issue detected and resolved automatically,K-PLTools-AIOPs-IN,2025-01-02T08:31:39,Solved (Permanently),Closing this ticket as the extension is working well after restarting,2025-01-02T09:18:39,Event Management,Automation Engine,Y,Y,Y,K-PLTools-AIOPs-IN,N,Y,Email,2025-01-02T09:18:39,188
INCIDENT,3,INCEU1914165,CLOSED,CLOSED,2025-01-01T08:40:44,uatools-next-eu02,uatools-next-eu02 issue detected and resolved automatically,K-PLTools-AIOPs-EU,2025-01-01T09:03:44,Solved (Permanently),Automation handled issue successfully,2025-01-01T09:16:44,Event Management,Self-service,Y,Y,N,K-PLTools-AIOPs-EU,Y,Y,Email,2025-01-01T09:16:44,56
INCIDENT,3,INCEU1930926,CLOSED,CLOSED,2025-01-06T03:05:43,uatools-next-eu02,uatools-next-eu02 issue detected and resolved automatically,K-PLTools-AIOPs-IN,2025-01-06T04:32:43,Cancelled,Resolved by Automation - RBA Event Clearing Received,2025-01-06T04:49:43,Event Management,Self-service,Y,Y,Y,K-PLTools-AIOPs-IN,N,Y,Email,2025-01-06T04:49:43,23
INCIDENT,3,INCEU1955082,CLOSED,CLOSED,2025-01-04T05:02:50,org.logstash.logstash,org.logstash.logstash issue detected and resolved automatically,K-PLTools-AIOPs-EU,2025-01-04T05:13:50,Cancelled,Resolved by Automation - RBA Event Clearing Received,2025-01-04T05:59:50,Event Management,Self-service,Y,Y,N,K-PLTools-AIOPs-EU,Y,Y,Email,2025-01-04T05:59:50,141
INCIDENT,3,INCEU1919116,CLOSED,CLOSED,2025-01-01T13:20:50,aks-sr-aks-prd,aks-sr-aks-prd issue detected and resolved automatically,K-PLTools-AIOPs-EU,2025-01-01T16:09:50,Solved (Permanently),Resolved by Automation - RBA Event Clearing Received,2025-01-01T16:23:50,Event Management,Self-service,Y,Y,N,K-PLTools-AIOPs-EU,N,Y,Email,2025-01-01T16:23:50,97
INCIDENT,3,INCEU1931319,CLOSED,CLOSED,2025-01-05T11:49:22,aks-sr-aks-prd,aks-sr-aks-prd issue detected and resolved automatically,K-PLTools-AIOPs-EU,2025-01-05T13:19:22,Solved (Permanently),Closing this ticket as the extension is working well after restarting,2025-01-05T13:32:22,Event Management,Self-service,Y,Y,N,K-PLTools-AIOPs-EU,N,Y,Email,2025-01-05T13:32:22,41
INCIDENT,3,INCEU1993886,CLOSED,CLOSED,2025-01-07T18:13:24,aks-sr-aks-prd,aks-sr-aks-prd issue detected and resolved automatically,K-PLTools-AIOPs-EU,2025-01-07T19:09:24,Solved (Permanently),Resolved by Automation - RBA Event Clearing Received,2025-01-07T19:52:24,Event Management,Self-service,Y,Y,N,K-PLTools-AIOPs-EU,Y,Y,Email,2025-01-07T19:52:24,80
INCIDENT,3,INCEU1937653,CLOSED,CLOSED,2025-01-07T21:12:11,uatools-next-eu02,uatools-next-eu02 issue detected and resolved automatically,K-PLTools-AIOPs-Bridge,2025-01-08T00:15:11,Cancelled,Automation handled issue successfully,2025-01-08T00:35:11,Event Management,Self-service,Y,Y,Y,K-PLTools-AIOPs-Bridge,Y,Y,Email,2025-01-08T00:35:11,36
INCIDENT,3,INCEU1983579,CLOSED,CLOSED,2025-01-07T12:59:18,integrated-aiops,integrated-aiops issue detected and resolved automatically,K-PLTools-AIOPs-Bridge,2025-01-07T14:06:18,Cancelled,Resolved by manual intervention,2025-01-07T14:53:18,Event Management,Automation Engine,Y,Y,N,K-PLTools-AIOPs-Bridge,Y,Y,Email,2025-01-07T14:53:18,56
INCIDENT,3,INCEU1916175,CLOSED,CLOSED,2025-01-02T07:56:15,uatools-next-eu02,uatools-next-eu02 issue detected and resolved automatically,K-PLTools-AIOPs-Bridge,2025-01-02T08:35:15,Solved (Permanently),Automation handled issue successfully,2025-01-02T09:15:15,Event Management,External Service Desk,Y,Y,N,K-PLTools-AIOPs-Bridge,N,Y,Email,2025-01-02T09:15:15,97
INCIDENT,3,INCEU1982512,CLOSED,CLOSED,2025-01-01T03:20:38,vpc-eu1-prod,vpc-eu1-prod issue detected and resolved automatically,K-PLTools-ISG,2025-01-01T06:14:38,Cancelled,Resolved by Automation - RBA Event Clearing Received,2025-01-01T07:00:38,Event Management,Self-service,Y,Y,Y,K-PLTools-ISG,N,Y,Email,2025-01-01T07:00:38,75
INCIDENT,3,INCEU1910425,CLOSED,CLOSED,2025-01-04T04:43:03,uatools-next-eu02,uatools-next-eu02 issue detected and resolved automatically,K-PLTools-AIOPs-EU,2025-01-04T06:51:03,Cancelled,Closing this ticket as the extension is working well after restarting,2025-01-04T07:39:03,Event Management,Self-service,Y,Y,Y,K-PLTools-AIOPs-EU,Y,Y,Email,2025-01-04T07:39:03,39
INCIDENT,3,INCEU1988504,CLOSED,CLOSED,2025-01-04T22:25:02,vpc-eu1-prod,vpc-eu1-prod issue detected and resolved automatically,K-PLTools-ISG,2025-01-05T00:30:02,Cancelled,Closing this ticket as the extension is working well after restarting,2025-01-05T00:31:02,Event Management,Automation Engine,Y,Y,Y,K-PLTools-ISG,Y,Y,Email,2025-01-05T00:31:02,14
INCIDENT,3,INCEU1973699,CLOSED,CLOSED,2025-01-01T20:09:34,uatools-next-eu02,uatools-next-eu02 issue detected and resolved automatically,K-PLTools-AIOPs-IN,2025-01-01T23:23:34,Cancelled,Closing this ticket as the extension is working well after restarting,2025-01-01T23:57:34,Event Management,External Service Desk,Y,Y,N,K-PLTools-AIOPs-IN,Y,Y,Email,2025-01-01T23:57:34,67
INCIDENT,3,INCEU1980686,CLOSED,CLOSED,2025-01-03T10:35:22,org.logstash.logstash,org.logstash.logstash issue detected and resolved automatically,K-PLTools-ISG,2025-01-03T13:37:22,Cancelled,Automation handled issue successfully,2025-01-03T13:56:22,Event Management,Automation Engine,Y,Y,Y,K-PLTools-ISG,Y,Y,Email,2025-01-03T13:56:22,30
INCIDENT,3,INCEU1954313,CLOSED,CLOSED,2025-01-01T06:07:36,uatools-next-eu02,uatools-next-eu02 issue detected and resolved automatically,K-PLTools-AIOPs-IN,2025-01-01T08:37:36,Solved (Permanently),Resolved by Automation - RBA Event Clearing Received,2025-01-01T09:12:36,Event Management,External Service Desk,Y,Y,Y,K-PLTools-AIOPs-IN,Y,Y,Email,2025-01-01T09:12:36,181
